央视频道,#genre#
CCTV1,http://27.223.246.185:9901/hls/1/index.m3u8
CCTV2,http://27.223.246.185:9901/hls/2/index.m3u8
CCTV2,http://221.0.78.26:881/hls/50202/index.m3u8
CCTV3,http://27.223.246.185:9901/hls/3/index.m3u8
CCTV4,http://27.223.246.185:9901/hls/4/index.m3u8
CCTV5,http://27.223.246.185:9901/hls/5/index.m3u8
CCTV5,http://221.0.78.26:881/hls/50205/index.m3u8
CCTV6,http://27.223.246.185:9901/hls/6/index.m3u8
CCTV7,http://221.0.78.26:881/hls/50207/index.m3u8
CCTV7,http://27.223.246.185:9901/hls/7/index.m3u8
CCTV8,http://27.223.246.185:9901/hls/8/index.m3u8
CCTV8,http://221.0.78.26:881/hls/50208/index.m3u8
CCTV9,http://27.223.246.185:9901/hls/9/index.m3u8
CCTV10,http://27.223.246.185:9901/hls/10/index.m3u8
CCTV10,http://221.0.78.26:881/hls/50210/index.m3u8
CCTV11,http://27.223.246.185:9901/hls/11/index.m3u8
CCTV12,http://27.223.246.185:9901/hls/12/index.m3u8
CCTV13,http://27.223.246.185:9901/hls/13/index.m3u8
CCTV14,http://27.223.246.185:9901/hls/14/index.m3u8
CCTV15,http://27.223.246.185:9901/hls/15/index.m3u8
CCTV一套,http://58.17.48.228:808/hls/1/index.m3u8
CCTV七套,http://58.17.48.228:808/hls/24/index.m3u8
CCTV九套,http://58.17.48.228:808/hls/16/index.m3u8
CCTV二套,http://58.17.48.228:808/hls/2/index.m3u8
CCTV五套,http://58.17.48.228:808/hls/5/index.m3u8
CCTV六套,http://58.17.48.228:808/hls/6/index.m3u8
CCTV十一,http://58.17.48.228:808/hls/11/index.m3u8
CCTV十七,http://58.17.48.228:808/hls/7/index.m3u8
CCTV十三,http://58.17.48.228:808/hls/13/index.m3u8
CCTV十二,http://58.17.48.228:808/hls/12/index.m3u8
CCTV十五,http://58.17.48.228:808/hls/15/index.m3u8
CCTV十四,http://58.17.48.228:808/hls/14/index.m3u8
CCTV十套,http://58.17.48.228:808/hls/10/index.m3u8
CCTV四套,http://58.17.48.228:808/hls/4/index.m3u8
卫视频道,#genre#
东南卫视,http://27.223.246.185:9901/hls/30/index.m3u8
东南卫视,http://58.17.48.228:808/hls/47/index.m3u8
东方卫视,http://27.223.246.185:9901/hls/24/index.m3u8
东方卫视,http://221.0.78.26:881/hls/50234/index.m3u8
东方卫视,http://58.17.48.228:808/hls/33/index.m3u8
云南卫视,http://58.17.48.228:808/hls/46/index.m3u8
兵团卫视,http://58.17.48.228:808/hls/62/index.m3u8
内蒙古卫视,http://221.0.78.26:881/hls/50255/index.m3u8
内蒙古卫视,http://58.17.48.228:808/hls/60/index.m3u8
北京卫视,http://27.223.246.185:9901/hls/19/index.m3u8
北京卫视,http://58.17.48.228:808/hls/35/index.m3u8
南方卫视,http://113.86.205.62:808/hls/109/index.m3u8
南方卫视,http://113.86.205.62:8090/hls/109/index.m3u8
吉林卫视,http://58.17.48.228:808/hls/56/index.m3u8
天津卫视,http://27.223.246.185:9901/hls/22/index.m3u8
天津卫视,http://58.17.48.228:808/hls/42/index.m3u8
宁夏卫视,http://221.0.78.26:881/hls/50256/index.m3u8
宁夏卫视,http://58.17.48.228:808/hls/65/index.m3u8
安徽卫视,http://27.223.246.185:9901/hls/26/index.m3u8
安徽卫视,http://58.17.48.228:808/hls/36/index.m3u8
山东卫视,http://27.223.246.185:9901/hls/16/index.m3u8
山东卫视,http://221.0.78.26:881/hls/50217/index.m3u8
山东卫视,http://58.17.48.228:808/hls/43/index.m3u8
