央视频道,#genre#
CCTV1,http://39.152.170.32:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://39.152.170.32:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://39.152.170.32:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://39.152.170.32:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://39.152.170.32:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://39.152.170.32:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://39.152.170.32:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://39.152.170.32:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://39.152.170.32:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://39.152.170.32:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://39.152.170.32:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://39.152.170.32:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://39.152.170.32:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://39.152.170.32:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
上海卫视,http://39.152.170.32:9901/tsfile/live/0150_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://39.152.170.32:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://39.152.170.32:9901/tsfile/live/0122_3.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://39.152.170.32:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://39.152.170.32:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://39.152.170.32:9901/tsfile/live/0131_2.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://39.152.170.32:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://39.152.170.32:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://39.152.170.32:9901/tsfile/live/0122_4.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://39.152.170.32:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://39.152.170.32:9901/tsfile/live/0122_2.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
辽宁体育,http://39.152.170.32:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁北方,http://39.152.170.32:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁影视,http://39.152.170.32:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁都市,http://39.152.170.32:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
